石の家のアルフィノは、新たな提案があるようだ。									石の家のアルフィノは、新たな提案があるようだ。	やがて流れは海へと注ぐ
マトシャ、貴重な話をありがとな。話し下手って言ってたが、そんなこともなかったぞ。									マトシャ、貴重な話をありがとな。話し下手って言ってたが、そんなこともなかったぞ。	神々が住まう館
島の神話や神々を、それだけ大事にしてるってことだろう。……塔の調査、俺たちもできるかぎり手を尽くそう。									島の神話や神々を、それだけ大事にしてるってことだろう。……塔の調査、俺たちもできるかぎり手を尽くそう。	神々が住まう館
どうか、よろしく……。くれぐれも、気をつけてほしいだす……！									どうか、よろしく……。くれぐれも、気をつけてほしいだす……！	神々が住まう館
それじゃあ、遅くなったが当初の目的地へ向かうか。									それじゃあ、遅くなったが当初の目的地へ向かうか。	神々が住まう館
バルデシオン委員会に依頼を送ってきたのは、錬金術師のニッダーナ……									バルデシオン委員会に依頼を送ってきたのは、錬金術師のニッダーナ……	神々が住まう館
ここから北にある「デミールの遺烈郷(いれつきょう)」って場所にいるそうだ。行って、彼女を探してみるとしよう。									ここから北にある「デミールの遺烈郷(いれつきょう)」って場所にいるそうだ。行って、彼女を探してみるとしよう。	神々が住まう館
アッパー・アクリンソスのクルルは、考え込んでいる。									アッパー・アクリンソスのクルルは、考え込んでいる。	運ぶもの、運ばれるもの
エレンヴィルと話す									エレンヴィルと話す	運ぶもの、運ばれるもの
シモフリネズミを探し敵が現れたら討伐									シモフリネズミを探し敵が現れたら討伐	運ぶもの、運ばれるもの
シモフリネズミを調べる									シモフリネズミを調べる	運ぶもの、運ばれるもの
シモフリネズミを探し敵が現れたら討伐									シモフリネズミを探し敵が現れたら討伐	運ぶもの、運ばれるもの
シモフリネズミに大きな麻袋を使う									シモフリネズミに大きな麻袋を使う	運ぶもの、運ばれるもの
シモフリネズミを探し大きな麻袋を使う									シモフリネズミを探し大きな麻袋を使う	運ぶもの、運ばれるもの
エレンヴィルにシモフリネズミ入りの麻袋を渡す									エレンヴィルにシモフリネズミ入りの麻袋を渡す	運ぶもの、運ばれるもの
アルフィノと話す									アルフィノと話す	運ぶもの、運ばれるもの
あの素早いチビッコを探し出すのは難儀だな……。どうしたもんか……。									あの素早いチビッコを探し出すのは難儀だな……。どうしたもんか……。	運ぶもの、運ばれるもの
