石の家のタタルは、冒険者に重大な報告があるようだ。									石の家のタタルは、冒険者に重大な報告があるようだ。	予感
……そこで、これを渡しておく。護り手たちが代々受け継いできた、ロンカの遺産……「ひそひ草」だ。									……そこで、これを渡しておく。護り手たちが代々受け継いできた、ロンカの遺産……「ひそひ草」だ。	仕掛けと呪いと毒と
それを持っている者同士は、離れた場所にいても、声を交わすことができる。ウィメたちも持っているので、外からの報告も聞けよう。									それを持っている者同士は、離れた場所にいても、声を交わすことができる。ウィメたちも持っているので、外からの報告も聞けよう。	仕掛けと呪いと毒と
なるほど、ロンカ流のリンクパールというわけね。ありがたく頂戴しておくわ。									なるほど、ロンカ流のリンクパールというわけね。ありがたく頂戴しておくわ。	仕掛けと呪いと毒と
さあ、あなたも準備はよくて？「大トゥパサの崇神所」を突き進んで、奥にある仕掛けを動かしましょう！									さあ、あなたも準備はよくて？「大トゥパサの崇神所」を突き進んで、奥にある仕掛けを動かしましょう！	仕掛けと呪いと毒と
崇神所には、恐らく今まで以上に強力な……命すら奪いかねない仕掛けが施されているだろう。私も手は貸すが、十分に覚悟して挑んでほしい。									崇神所には、恐らく今まで以上に強力な……命すら奪いかねない仕掛けが施されているだろう。私も手は貸すが、十分に覚悟して挑んでほしい。	仕掛けと呪いと毒と
「大トゥパサの崇神所」に突入する準備はよくて？									「大トゥパサの崇神所」に突入する準備はよくて？	仕掛けと呪いと毒と
ヤ・シュトラさんが……そんな……。									ヤ・シュトラさんが……そんな……。	仕掛けと呪いと毒と
……私たちの合流が、もう少し早ければ。せんなきことでも、そう考えずにはいられません……。									……私たちの合流が、もう少し早ければ。せんなきことでも、そう考えずにはいられません……。	仕掛けと呪いと毒と
……すまない、我々の力不足だ。									……すまない、我々の力不足だ。	仕掛けと呪いと毒と
本当に……本当に、ごめんなさい……。私たちが、もっと敵を食い止められていたら……うぅ……。									本当に……本当に、ごめんなさい……。私たちが、もっと敵を食い止められていたら……うぅ……。	仕掛けと呪いと毒と
……一旦、ここで待機しよう。									……一旦、ここで待機しよう。	仕掛けと呪いと毒と
ランジートがいなくなったことで、連れていたユールモア軍の雑兵たちは、引いたようだ。									ランジートがいなくなったことで、連れていたユールモア軍の雑兵たちは、引いたようだ。	仕掛けと呪いと毒と
今、ウィメが里の狩人たちと連絡を取って、各所の状況を確認してくれている。今はひとまず…………待つべきだろう。									今、ウィメが里の狩人たちと連絡を取って、各所の状況を確認してくれている。今はひとまず…………待つべきだろう。	仕掛けと呪いと毒と
四つの明星のアルメは、沈んだ様子だ。									四つの明星のアルメは、沈んだ様子だ。	魔女の護ったもの
ウリエンジェと話す									ウリエンジェと話す	魔女の護ったもの
ルナルに常闇の解毒薬を使う									ルナルに常闇の解毒薬を使う	魔女の護ったもの
ルナルを介抱									ルナルを介抱	魔女の護ったもの
ルナルを再度介抱									ルナルを再度介抱	魔女の護ったもの
ウリエンジェと話す									ウリエンジェと話す	魔女の護ったもの
